id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,id_victim,type,situation,circumstances,deathDate,personType,age,ageGroup,genre,race,place,serviceStatus,qualifications,politicalPosition,politicalStatus,partie,coorporation,agentPosition,agentStatus,unit
60382,"R. Sargento Wolff - Afogados, Recife - PE, 50830-510, Brasil",Nordeste,Pernambuco,Recife,AFOGADOS,,,-8.072764853792686,-34.91209495360385,"23/10/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,d2129a2b-19de-4756-b9ed-e8b0884d9ff6,People,dead,Sem identificação,"23/10/2023, 21:00:00",Civilian,22,adulto,mulher cis,Negra,residência,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60406,"Praça Abc - Mustardinha, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,MUSTARDINHA,,,-8.073494199999999,-34.9185288,"24/10/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,60973730-b414-4d1a-b4b7-c26e42271673,People,wounded,Sem identificação,,Civilian,22,adulto,homem cis,Branca,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60406,"Praça Abc - Mustardinha, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,MUSTARDINHA,,,-8.073494199999999,-34.9185288,"24/10/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,0d9be980-157c-4228-b1ae-eaf5448184a8,People,wounded,Sem identificação,,Civilian,24,adulto,mulher cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60406,"Praça Abc - Mustardinha, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,MUSTARDINHA,,,-8.073494199999999,-34.9185288,"24/10/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,42c9e93a-a751-47b4-a250-1ca1bd94c1a7,People,wounded,Sem identificação,,Civilian,43,adulto,mulher cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60414,"Av. Chagas Ferreira - Dois Unidos, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,DOIS UNIDOS,,,-7.9960606,-34.920566,"24/10/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,c337f005-93cc-4883-bea3-db95eaf0e7d2,People,wounded,Sem identificação,,Civilian,47,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60410,"R. Caminho da Areinha, 58 A -Alto das Barreiras, Várzea, Recife - PE, 50980-010, Brasil",Nordeste,Pernambuco,Recife,VARZEA,,ALTO DAS BARREIRAS,-8.024550818769185,-34.96667639998282,"24/10/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,31ef4009-5769-4879-8682-512e1884344d,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60463,"R. Alfredo Viêira de Melo, 143 - Jardim São Paulo, Recife - PE, 50781-520, Brasil",Nordeste,Pernambuco,Recife,JARDIM SAO PAULO,,,-8.084130566809971,-34.93468812208777,"26/10/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,8d987fed-8e15-4c45-b7b8-221ea33b6a6c,People,dead,Sem identificação,"26/10/2023, 21:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60495,"R. Dona Benvinda de Farias - Boa Viagem, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,BOA VIAGEM,,,-8.1104357,-34.8925087,"27/10/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,00237a60-e8c6-42b4-ba76-0e47fdc7723f,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60495,"R. Dona Benvinda de Farias - Boa Viagem, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,BOA VIAGEM,,,-8.1104357,-34.8925087,"27/10/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,53b3d033-d36d-4c3f-b5cc-41cefcf7a4d0,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60516,"UR 3 - Av. Engenho Babilônia - COHAB, Recife - PE, 51270-080, Brasil",Nordeste,Pernambuco,Recife,COHAB,,UR 03,-8.112835893886947,-34.951073861376805,"29/10/2023, 21:00:00",false,true,,Tentativa/Roubo,,,false,,,,,,,,,,,,,,,,,,,,
60521,"Alto das Barreiras - Av. Joaquim Ribeiro, 975a - Caxangá, Recife - PE, 50980-427, Brasil",Nordeste,Pernambuco,Recife,CAXANGA,,ALTO DAS BARREIRAS,-8.024063977371204,-34.96244420548613,"30/10/2023, 18:00:00",false,false,,Homicidio/Tentativa,,,false,d4d51b52-87fb-4477-9ebf-76f9843e188c,People,dead,Sem identificação,"30/10/2023, 18:00:00",Civilian,26,adulto,homem cis,Negra,outros,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60529,"Av. Emb. Assis Chateaubriand - Guabiraba, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,GUABIRABA,,SITIO DOS MACACOS,-7.9928795,-34.9379015,"30/10/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,693878ec-b570-4fb6-8af4-3192c148fd85,People,wounded,Sem identificação,,Civilian,22,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60533,"R. Dra. Itamar de Morais e Silva - Afogados, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,AFOGADOS,,,-8.0825585,-34.9196492,"30/10/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,cc6f921a-0373-4a45-ba97-0120a3876ab7,People,dead,Sem identificação,"30/10/2023, 21:00:00",Civilian,19,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60550,"Praia do Pina, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,PINA,,,-8.095158699999999,-34.8820633,"02/11/2023, 13:00:00",false,false,,Homicidio/Tentativa,,,false,b4c293a6-8d0a-4317-8fef-f5890a4d6f78,People,dead,Sem identificação,"02/11/2023, 13:00:00",Civilian,22,adulto,homem cis,Negra,outros,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60590,"R. Aíres Belo - Areias, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,ESTANCIA,,,-8.0877868,-34.931018,"02/11/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,4f1247ff-684a-4bb5-abc6-8cc53082121d,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60593,"Rua Raposo Taváres - COHAB, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,COHAB,,UR 05,-8.1348226,-34.9551891,"02/11/2023, 21:00:00",false,false,,Não identificado,,,false,7073d405-4291-4566-b889-67fd9f910bd7,People,dead,Sem identificação,"02/11/2023, 21:00:00",Civilian,,adulto,mulher cis,Branca,residência,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60581,"R. Campos Sáles - Comunidade do Cardoso - Madalena, Recife - PE, 50610-400, Brasil",Nordeste,Pernambuco,Recife,MADALENA,,COMUNIDADE DO CARDOSO,"-8.051650148294895 ",-34.91470845042071,"03/11/2023, 05:00:00",false,false,,Homicidio/Tentativa,,,false,222ea650-283c-4739-91ea-986a316a12bc,People,dead,Sem identificação,"03/11/2023, 05:00:00",Civilian,34,adulto,homem cis,Negra,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60630,"Córrego do Arcânjo, 174 - Nova Descoberta, Recife - PE, 52190-050, Brasil",Nordeste,Pernambuco,Recife,NOVA DESCOBERTA,,CORREGO DO ARCANJO,-8.005492878100855,-34.9256673646616,"04/11/2023, 19:00:00",false,false,,Homicidio/Tentativa,,,false,834de946-8989-495c-8c5e-affacd03b066,People,dead,Sem identificação,"04/11/2023, 19:00:00",Civilian,41,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60634,"Rua Engenheiro Arnulfo Falcão - Passarinho, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,PASSARINHO,,,-7.982382,-34.9268891,"04/11/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,df261cc1-d027-43c8-b06f-2c2d966c7c3c,People,dead,Sem identificação,"04/11/2023, 21:00:00",Civilian,18,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60633,"R. do Pombal, s/n - Santo Amaro, Recife - PE, 50100-170, Brasil",Nordeste,Pernambuco,Recife,SANTO AMARO,,,-8.049248844807039,-34.884827153967294,"05/11/2023, 11:40:00",false,false,,Homicidio/Tentativa,,,false,3a0d615b-14d8-4b92-836d-79fbdf90c858,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Não identificado,outros,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60633,"R. do Pombal, s/n - Santo Amaro, Recife - PE, 50100-170, Brasil",Nordeste,Pernambuco,Recife,SANTO AMARO,,,-8.049248844807039,-34.884827153967294,"05/11/2023, 11:40:00",false,false,,Homicidio/Tentativa,,,false,01f97eec-b959-4e55-9cdd-9d5508d8d4fe,People,wounded,Sem identificação,,Civilian,,não identificado,não identificado,Não identificado,outros,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60633,"R. do Pombal, s/n - Santo Amaro, Recife - PE, 50100-170, Brasil",Nordeste,Pernambuco,Recife,SANTO AMARO,,,-8.049248844807039,-34.884827153967294,"05/11/2023, 11:40:00",false,false,,Homicidio/Tentativa,,,false,9bb913c0-5465-4c24-bba2-42f1c64cafe2,People,wounded,Sem identificação,,Civilian,,não identificado,não identificado,Não identificado,outros,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60633,"R. do Pombal, s/n - Santo Amaro, Recife - PE, 50100-170, Brasil",Nordeste,Pernambuco,Recife,SANTO AMARO,,,-8.049248844807039,-34.884827153967294,"05/11/2023, 11:40:00",false,false,,Homicidio/Tentativa,,,false,8cce1cc6-4484-416c-afeb-46e3bc0e84ee,People,dead,Sem identificação,"04/11/2023, 21:00:00",Civilian,16,adolescente,homem cis,Não identificado,outros,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60628,"R. Alfredo de Freitas - Arruda, Recife - PE, 52120-380, Brasil",Nordeste,Pernambuco,Recife,ARRUDA,,,-8.0233039,-34.8850462,"05/11/2023, 14:30:00",false,false,,Homicidio/Tentativa,,,false,bf231d7a-6080-4509-9d7b-b8ed469b2a95,People,dead,Sem identificação,"05/11/2023, 14:30:00",Civilian,23,adulto,homem cis,Não identificado,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60627,"Rua Honório Correia, 251 - Cordeiro, Recife - PE, 50630-050, Brasil",Nordeste,Pernambuco,Recife,CORDEIRO,,,-8.05214257266899,-34.92168136466157,"06/11/2023, 03:40:00",false,true,,Briga,,,false,5c92c8f5-70e2-4a1c-910f-e08dd304f551,People,dead,Sem identificação,"05/11/2023, 03:40:00",Agent,38,adulto,homem cis,Branca,outros,não se aplica,Agente de segurança,não se aplica,não se aplica,,polícia militar,cabo,aposentado / exonerado,"Não se aplica. "
60656,"Escola Municipal Vila Operária do Recife - Rua Emílio Monteiro Fonseca - Ibura, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,IBURA,,ALTO DA BELA VISTA,-8.1241736,-34.9362945,"06/11/2023, 15:30:00",false,false,,Homicidio/Tentativa,,,false,f8f23794-cf4d-4b1a-8c0a-11c310a1045e,People,wounded,Sem identificação,,Civilian,40,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60663,"Vila Tamandare - 1A Travessa Príncipe da Beira - Jiquiá, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,JIQUIA,,VILA TAMANDARE,-8.0905356,-34.925356,"06/11/2023, 17:00:00",false,false,,Homicidio/Tentativa,,,false,6d4a2994-8291-4e74-86a9-f3e2d1f853ee,People,dead,Sem identificação,"05/11/2023, 21:00:00",Civilian,41,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60681,"Rua Coronel Fernando Furtado Segunda - Iputinga, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,IPUTINGA,,,-8.0413282,-34.9275356,"06/11/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,6a6029f0-b291-42ed-90bb-4b379c84e3a9,People,dead,Sem identificação,"07/11/2023, 21:00:00",Civilian,20,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60698,"Av. Aníbal Benévolo - Água Fria, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,AGUA FRIA,,,-8.0099982,-34.8985233,"07/11/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,,,,,,,,,,,,,,,,,,,,
60716,"Brejo da Guabiraba, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,BREJO DA GUABIRABA,,,-7.9930038,-34.9327449,"08/11/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,3a201ebf-a484-4cf0-adbb-e8f8a338aa16,People,dead,Sem identificação,"08/11/2023, 21:00:00",Civilian,60,idoso,mulher cis,Negra,residência,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60733,"Vila do Sesi - R. Rio Paranaíba, 160 - Ibura, Recife - PE, 51230-180, Brasil",Nordeste,Pernambuco,Recife,IBURA,,VILA DO SESI,-8.115604521395491,-34.942304068121594,"09/11/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,9d0c20c9-0833-496e-9207-494ae391ac8b,People,wounded,Sem identificação,,Civilian,32,adulto,mulher cis,Não identificado,sem identificação,não identificado,Agente de Segurança Privado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60755,"R. Bento de Abreu - Córrego do Jenipapo, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,CORREGO DO JENIPAPO,,,-8.0034969,-34.9369701,"10/11/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,a5f272bc-ced5-4859-bf79-fcf17ecfbabe,People,dead,Sem identificação,"10/11/2023, 21:00:00",Civilian,27,adulto,homem cis,Negra,residência,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60779,"Jardim São Paulo, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,JARDIM SAO PAULO,,,-8.0799471,-34.942802,"12/11/2023, 21:00:00",false,true,,Tentativa/Roubo,,,false,f1978a7b-e1f0-49f9-ba47-e2dcdffc3389,People,dead,Sem identificação,"12/11/2023, 21:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60779,"Jardim São Paulo, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,JARDIM SAO PAULO,,,-8.0799471,-34.942802,"12/11/2023, 21:00:00",false,true,,Tentativa/Roubo,,,false,54f0056d-9508-4b39-aeb4-ef839530693d,People,dead,Sem identificação,"12/11/2023, 21:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60783,"UR-04 - R. Caiana - COHAB, Recife - PE, 51300-655, Brasil",Nordeste,Pernambuco,Recife,COHAB,,UR 04,-8.13068734320953,-34.94582409999994,"12/11/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,3c84c24e-3f2a-4b2e-9f92-edac1d01c434,People,wounded,Sem identificação,,Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60783,"UR-04 - R. Caiana - COHAB, Recife - PE, 51300-655, Brasil",Nordeste,Pernambuco,Recife,COHAB,,UR 04,-8.13068734320953,-34.94582409999994,"12/11/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,ebf94479-55e1-43a4-85bb-80e586cca94d,People,wounded,Sem identificação,,Civilian,,adolescente,mulher cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60774,"R. Chã de Alegria, 551 - Bomba do Hemetério, Recife - PE, 52211-130, Brasil",Nordeste,Pernambuco,Recife,BOMBA DO HEMETERIO,,,-8.020832146502448,-34.90464878400954,"13/11/2023, 07:00:00",false,false,,Homicidio/Tentativa,,,false,3d3a2f1d-bf21-461f-9608-01a867063d2e,People,dead,Sem identificação,"13/11/2023, 07:00:00",Civilian,38,adulto,homem cis,Negra,outros,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60776,"Av. Aníbal Benévolo, 1409 - Alto Santa Teresinha, Recife - PE, 52130-005, Brasil",Nordeste,Pernambuco,Recife,ALTO SANTA TERESINHA,,,-8.010603293656317,-34.90152156665627,"13/11/2023, 13:00:00",false,false,,Homicidio/Tentativa,,,false,4d5c5ea4-e41f-40de-b583-62bb4844e2bc,People,dead,Sem identificação,"13/11/2023, 13:00:00",Civilian,34,adulto,homem cis,Negra,unidade de ensino,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60777,"Comunidade Roda de Fogo - R. Maestro Jones Johnsson, 1180 - Torrões, Recife - PE, 50660-390, Brasil",Nordeste,Pernambuco,Recife,TORROES,,COMUNIDADE RODA DE FOGO,-8.058785457653078,-34.93580637266406,"13/11/2023, 14:00:00",false,false,,Homicidio/Tentativa,,,false,d221f570-a7a8-4258-be03-26d36b0a2054,People,dead,Sem identificação,"13/11/2023, 14:00:00",Civilian,30,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60778,"Sítio do Berardo - R. Jaraguá - Prado, Recife - PE, 50720-145, Brasil",Nordeste,Pernambuco,Recife,PRADO,,COMUNIDADE SITIO BERARDO,-8.056632152500164,-34.91604009021295,"13/11/2023, 16:30:00",false,false,,Homicidio/Tentativa,,,false,3987b405-e9f3-4c57-ad6b-ed3ff4e8380d,People,dead,Sem identificação,"13/11/2023, 16:30:00",Civilian,17,adolescente,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60800,"Comunidade Carolina de Jesus - Av. Central, 6860 - Jardim São Paulo, Recife - PE, Brasil",Nordeste,Pernambuco,Recife,JARDIM SAO PAULO,,COMUNIDADE CAROLINA DE JESUS,-8.0877032,-34.9453889,"14/11/2023, 08:00:00",false,false,,Homicidio/Tentativa,,,false,7963ca57-3207-4a07-bd08-10e1308e4539,People,dead,Sem identificação,"14/11/2023, 08:00:00",Civilian,20,adulto,mulher cis,Branca,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60799,"Av. Sul Gov. Cid Sampaio, 1111 - Imbiribeira, Recife - PE, 50090-010, Brasil",Nordeste,Pernambuco,Recife,IMBIRIBEIRA,,,-8.089975063883255,-34.90719620659991,"14/11/2023, 12:00:00",false,false,,Homicidio/Tentativa,,,false,fc5ad2a2-e14b-4bfe-b887-a5a99baa4b8b,People,dead,Sem identificação,"14/11/2023, 12:00:00",Civilian,25,adulto,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60806,"R. Cassiterita, 2 - Brejo da Guabiraba, Recife - PE, 52291-140, Brasil",Nordeste,Pernambuco,Recife,BREJO DA GUABIRABA,,,-7.993192638611781,-34.93602222476922,"15/11/2023, 13:30:00",false,false,,Homicidio/Tentativa,,,false,680c7999-c43c-4737-906e-fd9222e0ac28,People,dead,Sem identificação,"15/11/2023, 13:30:00",Civilian,22,adulto,mulher cis,Branca,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60841,"Av. Josélia, 1206 - Nova Descoberta, Recife - PE, 52190-190, Brasil",Nordeste,Pernambuco,Recife,NOVA DESCOBERTA,,,-8.003751462181015,-34.927321871164764,"15/11/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,f9809b0b-c2c7-4460-8132-3c089b51a854,People,dead,Sem identificação,"15/11/2023, 21:00:00",Civilian,17,adolescente,homem cis,Negra,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60871,"Av. Norte Miguel Arraes de Alencar, 326 - Macaxeira, Recife - PE, 52071-035, Brasil",Nordeste,Pernambuco,Recife,MACAXEIRA,,,-8.014198621266468,-34.93144810391371,"16/11/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,8ac01d61-dd0b-4dbd-b249-05f8b8f8d3ce,People,wounded,Sem identificação,,Civilian,,não identificado,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
60872,"Comunidade Mangueirinha - R. Antônio Rabêlo, 426 - Madalena, Recife - PE, 50610-110, Brasil",Nordeste,Pernambuco,Recife,MADALENA,,COMUNIDADE MANGUEIRA DA TORRE,-8.048680866967533,-34.90519484754599,"16/11/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,d4585fec-42a4-439a-985a-909bcc383a61,People,wounded,Sem identificação,,Civilian,,não identificado,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
